公立・私立区分,学校,学年,年齢,学習費区分1,学習費区分2,学習費区分3,学習費区分4,学習費
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,入学金・入園料,1025.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,入学時に納付した施設整備費等,727.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,入学検定料,97.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,授業料,4223.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,施設整備費等,0.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,修学旅行費,0.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,校外学習費,1040.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,学級・児童会・生徒会費,1798.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,その他の学校納付金,1715.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,PTA会費,4189.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,後援会費,127.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,寄附金,146.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,教科書費・教科書以外の図書費,3134.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,学用品・実験実習材料費,12588.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,教科外活動費,614.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,通学費,13857.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,制服,6225.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,通学用品費,11430.0
公立,幼稚園,1,3,学習費総額,学校教育費,学校教育費,その他学校教育費,16076.0
公立,幼稚園,1,3,学習費総額,学校給食費,学校給食費,学校給食費,14951.0
公立,幼稚園,1,3,学習費総額,学校外活動費,補助学習費,家庭内学習費,5897.0
公立,幼稚園,1,3,学習費総額,学校外活動費,補助学習費,通信教育・家庭教師費,6568.0
公立,幼稚園,1,3,学習費総額,学校外活動費,補助学習費,学習塾費,6109.0
公立,幼稚園,1,3,学習費総額,学校外活動費,補助学習費,その他補助学習費,347.0
公立,幼稚園,1,3,学習費総額,学校外活動費,その他の学校外活動費,体験活動・地域活動,2566.0
公立,幼稚園,1,3,学習費総額,学校外活動費,その他の学校外活動費,芸術文化活動,4331.0
公立,幼稚園,1,3,学習費総額,学校外活動費,その他の学校外活動費,スポーツ・レクリエーション活動,11960.0
公立,幼稚園,1,3,学習費総額,学校外活動費,その他の学校外活動費,国際交流体験活動,47.0
公立,幼稚園,1,3,学習費総額,学校外活動費,その他の学校外活動費,教養・その他,17804.0
